id,categoria,categoria_nombre,nombre,color,talles,unidades,precio_original,precio_liquidacion,imagen_url,imagen_url_alt
1,buzos,Buzos & Sweaters,Adapted Blanco,Blanco,S×1 | XXL×1,2,45000,29200,https://drive.google.com/file/d/1IsiKUlu0KpRrjoBet-HF0VcH8PtaEoyE/view?usp=sharing,https://drive.google.com/file/d/1mlxiZDAeiFokNJ-lb0ZzpsbrYVpkHG-z/view?usp=sharing
2,buzos,Buzos & Sweaters,Amsterdam Negro,Negro,L×1,1,45000,29200,,
3,buzos,Buzos & Sweaters,Border Negro,Negro,M×1,1,45000,29200,,
4,buzos,Buzos & Sweaters,Border Vainilla,Vainilla,M×1 | XL×1,2,45000,29200,,
5,buzos,Buzos & Sweaters,Dinger Marron,Marrón,XL×1,1,45000,29200,,
6,buzos,Buzos & Sweaters,Dinger Negro,Negro,S×2,2,45000,29200,,
7,buzos,Buzos & Sweaters,Dinger Vainilla,Vainilla,L×2 | XL×1 | XXL×1,4,45000,29200,,
8,buzos,Buzos & Sweaters,Sawk Verde,Verde,L×1,1,45000,29200,,
9,buzos,Buzos & Sweaters,Search Negro,Negro,XS×2 | XXL×2,4,45000,29200,,
10,buzos,Buzos & Sweaters,Statement Beige - Gris,Gris,S×1 | M×1 | L×1 | XL×1,4,45000,29200,,
11,buzos,Buzos & Sweaters,Statement Marron,Marrón,S×1 | M×1 | L×1 | XL×1 | XXL×1,5,45000,29200,,
12,buzos,Buzos & Sweaters,Superior Blanco,Blanco,S×1 | M×1 | XXL×2,4,45000,29200,,
13,buzos,Buzos & Sweaters,Deserve Azul,Azul,S×1 | XXL×1,2,45000,29200,,
14,buzos,Buzos & Sweaters,Gravity Astronauta,,XL×1,1,45000,29200,,
15,buzos,Buzos & Sweaters,Roclylong Irreverent Gris,Gris,S×1 | M×1,2,45000,29200,,
16,buzos,Buzos & Sweaters,Swep Blanco Y Gris,Gris,S×1 | L×2,3,45000,29200,,
17,buzos,Buzos & Sweaters,Thega Galaxia,,M×2 | XL×1,3,45000,29200,,
18,buzos,Buzos & Sweaters,Marsh Negro,Negro,S×1 | M×2,3,45000,29200,,
19,buzos,Buzos & Sweaters,""""" Rosa",Rosa,M×2 | L×3 | XL×1,6,45000,29200,,
20,buzos,Buzos & Sweaters,Arthur Beige,Beige,3XL×1,1,45000,29200,,
21,buzos,Buzos & Sweaters,""""" Blanco",Blanco,L×1 | XXL×1 | 3XL×1,3,45000,29200,,
22,buzos,Buzos & Sweaters,""""" Camel",Camel,XL×2 | 3XL×1,3,45000,29200,,
23,buzos,Buzos & Sweaters,""""" Coral",Coral,S×1,1,45000,29200,,
24,buzos,Buzos & Sweaters,""""" Negro",Negro,S×2 | M×3 | 3XL×1,6,45000,29200,,
25,buzos,Buzos & Sweaters,""""" Verde",Verde,S×1 | M×1 | XXL×1 | 3XL×1,4,45000,29200,,
26,buzos,Buzos & Sweaters,""""" Violeta",Violeta,M×1,1,45000,29200,,
27,buzos,Buzos & Sweaters,""""" Rosa",Rosa,XXL×2,2,45000,29200,,
28,buzos,Buzos & Sweaters,""""" Nuevo Arena",Arena,XS×1 | M×2,3,45000,29200,,
29,buzos,Buzos & Sweaters,""""" Cemento",Cemento,XS×2,2,45000,29200,,
30,buzos,Buzos & Sweaters,Premium Celeste,Celeste,XL×1,1,45000,29200,,
31,buzos,Buzos & Sweaters,Mau Negro,Negro,S×1,1,45000,29200,,
32,buzos,Buzos & Sweaters,Wiilson,,XXL×1,1,45000,29200,,
33,buzos,Buzos & Sweaters,""""" Camel",Camel,M×1 | L×1 | XL×1,3,45000,29200,,
34,buzos,Buzos & Sweaters,""""" Negro",Negro,L×1,1,45000,29200,,
35,buzos,Buzos & Sweaters,"Escote ""v"" Gris",Gris,S×2 | M×2,4,45000,29200,,
36,buzos,Buzos & Sweaters,1/2 Polera Gris Claro,Gris Claro,S×1,1,45000,29200,,
37,buzos,Buzos & Sweaters,1/2 Polera Cierre Gris Claro,Gris Claro,S×1,1,45000,29200,,
38,buzos,Buzos & Sweaters,Negra,Negro,S×2 | M×1 | L×2,5,45000,29200,,
39,buzos,Buzos & Sweaters,Azul,Azul,S×1,1,45000,29200,,
40,buzos,Buzos & Sweaters,Gris Oscuro,Gris Oscuro,S×1 | M×3,4,45000,29200,,
41,buzos,Buzos & Sweaters,Gris Claro,Gris Claro,M×2 | XL×1,3,45000,29200,,
42,bermudas,Bermudas,A Azul,Azul,38×2 | 40×1,3,41000,26600,,
43,bermudas,Bermudas,B,,38×1 | 40×1 | 42×2,4,41000,26600,,
44,bermudas,Bermudas,C,,38×1,1,41000,26600,,
45,bermudas,Bermudas,D,,38×2 | 40×3 | 46×1,6,41000,26600,,
46,bermudas,Bermudas,P Rectangulo Roto,,38×2,2,41000,26600,,
47,bermudas,Bermudas,Blanca Letra,Blanco,38×1,1,41000,26600,,
48,bermudas,Bermudas,Blanca Sana,Blanco,38×1,1,41000,26600,,
49,bermudas,Bermudas,Blanca Eliot,Blanco,38×1,1,41000,26600,,
50,bermudas,Bermudas,Blanca Rota Rotura,Blanco,38×3 | 40×2,5,41000,26600,,
51,bermudas,Bermudas,Bline Gris Roturas,Gris,40×1,1,41000,26600,,
52,bermudas,Bermudas,Frk,,38×3,3,41000,26600,,
53,bermudas,Bermudas,Indigo,Índigo,40×1,1,41000,26600,,
54,bermudas,Bermudas,Meison Gris Roturas,Gris,38×1,1,41000,26600,,
55,bermudas,Bermudas,Montreal ?,,38×1,1,41000,26600,,
56,bermudas,Bermudas,Paez,,38×1 | 40×2,3,41000,26600,,
57,bermudas,Bermudas,Raily ?,,40×1,1,41000,26600,,
58,bermudas,Bermudas,Ralt,,38×1 | 40×1 | 42×1,3,41000,26600,,
59,bermudas,Bermudas,Black,Negro,50×1,1,41000,26600,,
